Dzielnica,Nazwa jednostki,Nazwa placówki,Adres,Dyrektor,Telefon,Odnośnik
Praga Północ,Przedszkole nr 185 z Oddziałami Integracyjnymi,Przedszkole nr 185 z Oddziałami Integracyjnymi,ul. Wołomińska 56 Warszawa,Wanda Bownik,226198700,przeglądaj
Praga Północ,Przedszkole nr 186,Przedszkole nr 186,ul. Wołomińska 12/18 Warszawa,Teresa Toboła,226190605,przeglądaj
Mokotów,"Przedszkole nr 189 ""Na Wierzbnie""","Przedszkole nr 189 ""Na Wierzbnie""",ul. Teofila Lenartowicza 27 Warszawa,Joanna Waszczuk,228440427,przeglądaj
Śródmieście,Przedszkole nr 19,Przedszkole nr 19,ul. Jana i Jędrzeja Śniadeckich 12 Warszawa,Bożena Pieńkowska,226286152,przeglądaj
Mokotów,Przedszkole nr 190,Przedszkole nr 190,ul. Racławicka 30a Warszawa,Agnieszka Romanowska,228441174,przeglądaj
Mokotów,Przedszkole nr 191 im. Marii Kownackiej,Przedszkole nr 191 im. Marii Kownackiej,ul. Zawrat 22 Warszawa,Joanna Kotarska,228431972,przeglądaj
Białołęka,"Przedszkole nr 192 ""Wesoły Pędzelek""","Przedszkole nr 192 ""Wesoły Pędzelek""",ul. Liczydło 3a Warszawa,Iwona Fabiszewska,228119040,przeglądaj
Mokotów,"Przedszkole nr 193 ""Mokotowskie Nutki""","Przedszkole nr 193 ""Mokotowskie Nutki""",ul. Antoniego Edwarda Odyńca 61 Warszawa,Emilia Janowska,228443864,przeglądaj
Ursus,Przedszkole nr 194,Przedszkole nr 194,ul. Walerego Sławka 7 Warszawa,Renata Trzepizur,226674344,przeglądaj
Mokotów,"Przedszkole nr 196 ""Kraina Misiów""","Przedszkole nr 196 ""Kraina Misiów""",ul. Ludwika Nabielaka 18a Warszawa,Agnieszka Wojdal,228414475,przeglądaj
Żoliborz,"Przedszkole nr 197 ""Do-Re-Mi""","Przedszkole nr 197 ""Do-Re-Mi""",ul. ks. Jerzego Popiełuszki 3a Warszawa,Grażyna Jezierska-Helbert,226638706,przeglądaj
Mokotów,Przedszkole nr 199,Przedszkole nr 199,ul. Bukietowa 10 Warszawa,Joanna Malesa,228445822,przeglądaj
Śródmieście,Przedszkole nr 2,Przedszkole nr 2,ul. Orla 11 Warszawa,Barbara Gniewkowska,226203563,przeglądaj
Ursus,"Przedszkole nr 200 ""Gąski Balbinki""","Przedszkole nr 200 ""Gąski Balbinki""",ul. Balbinki 1 Warszawa,Małgorzata Kopp,226676339,przeglądaj
Ursynów,"Przedszkole nr 201 ""Misia Ursynka""","Przedszkole nr 201 ""Misia Ursynka""",ul. Wilczy Dół 4 Warszawa,Anna Zabielska,226491999,przeglądaj
Bemowo,Przedszkole nr 205,Przedszkole nr 205,ul. Karola Irzykowskiego 1 Warszawa,Dorota Maskiewicz,226651676,przeglądaj
Śródmieście,Przedszkole nr 206,Przedszkole nr 206,ul. Franciszkańska 7 Warszawa,Irena Tokarczyk,228313705,przeglądaj
Śródmieście,Przedszkole nr 21,Przedszkole nr 21,ul. Marszałkowska 27/35a Warszawa,Anna Modzelewska,228251785,przeglądaj
Praga Południe,Przedszkole nr 211 im. Kubusia Puchatka,Przedszkole nr 211 im. Kubusia Puchatka,ul. Dąbrówki 20 Warszawa,Katarzyna Surma,226175383,przeglądaj
Żoliborz,Przedszkole nr 212,Przedszkole nr 212,ul. Czesława Ludwika Rybińskiego 2 Warszawa,Katarzyna Pernach-Brzostek,228398867,przeglądaj
Bemowo,Przedszkole nr 214 im. Janiny Krzemińskiej,Przedszkole nr 214 im. Janiny Krzemińskiej,ul. gen. Waleriana Czumy 6 Warszawa,Bożena Miękus,226651758,przeglądaj
Bemowo,Przedszkole nr 215,Przedszkole nr 215,ul. Eugeniusza Szwankowskiego 3 Warszawa,Lidia Grabiec,226641601,przeglądaj
Bemowo,Przedszkole nr 216,Przedszkole nr 216,ul. Michała Elwira Andriollego 1 Warszawa,Hanna Waluśkiewicz,226381941,przeglądaj
Praga Północ,Przedszkole nr 217,Przedszkole nr 217,ul. Karola Szymanowskiego 4A Warszawa,Małgorzata Brauer,226194169,przeglądaj
Praga Południe,"Przedszkole nr 218 ""Iskra""","Przedszkole nr 218 ""Iskra""",ul. Tadeusza Rechniewskiego 5b Warszawa,Iwona Karolewska,226715999,przeglądaj
Ursus,"Przedszkole nr 219 ""Niezapominajka""","Przedszkole nr 219 ""Niezapominajka""",ul. Mariana Keniga 16 Warszawa,Dorota Kamińska,226670073,przeglądaj
Włochy,Przedszkole nr 22,Przedszkole nr 22,ul. Żwirki i Wigury 15b Warszawa,Alicja Riedel,228462040,przeglądaj
Praga Południe,Przedszkole nr 220,Przedszkole nr 220,ul. Walewska 7 Warszawa,Marzenna Turczyńska,228100582,przeglądaj
Bemowo,Przedszkole nr 222,Przedszkole nr 222,ul. Kazimierza Wyki 17 Warszawa,Barbara Barlak,226651366,przeglądaj
Wilanów,"Przedszkole nr 223 ""Skarby Powsina""",Zespół Szkolno-Przedszkolny nr 3,ul. Przyczółkowa 27 Warszawa,Aniela Trefoń,226484935,przeglądaj
Ochota,Przedszkole nr 225,Przedszkole nr 225,ul. Stefana Bobrowskiego 5 Warszawa,Barbara Rokicka,228229348,przeglądaj
Praga Południe,"Przedszkole nr 227 ""Wesołe Nutki""","Przedszkole nr 227 ""Wesołe Nutki""",ul. Świętosławska 3 Warszawa,Danuta Gromadka,228102693,przeglądaj
Mokotów,Przedszkole nr 228,Przedszkole nr 228,ul. Marzanny 8 Warszawa,Jolanta Kopała,228446015,przeglądaj
Śródmieście,Przedszkole nr 23,Przedszkole nr 23,ul. Czerniakowska 128 Warszawa,Monika Wojciechowska,228417181,przeglądaj
Praga Południe,Przedszkole nr 230,Przedszkole nr 230,ul. Szaserów 118a Warszawa,Beata Tobjasz,226102496,przeglądaj
Wawer,"Przedszkole nr 233 ""Zielony Domek""","Przedszkole nr 233 ""Zielony Domek""",ul. Romana Pazińskiego 11a Warszawa,Bernardetta Piotrowska,228120689,przeglądaj
Wola,Przedszkole nr 234,Przedszkole nr 234,ul. Ożarowska 59 Warszawa,Maria Antoniak,228363512,przeglądaj
Praga Południe,"Przedszkole nr 235 ""Tęczowe Przedszkole""","Przedszkole nr 235 ""Tęczowe Przedszkole""",ul. Chroszczewska 3/5 Warszawa,Teresa Janek,228105908,przeglądaj
Bielany,"Przedszkole nr 236 ""Mali Odkrywcy""","Przedszkole nr 236 ""Mali Odkrywcy""",ul. Antoniego Fontany 2 Warszawa,Katarzyna Kwiecińska,228346585,przeglądaj
Wola,Przedszkole nr 237 im. Warszawskiej Syrenki,Przedszkole nr 237 im. Warszawskiej Syrenki,ul. Eustachego Tyszkiewicza 33 Warszawa,Grażyna Ziółek,226328019,przeglądaj
Wola,"Przedszkole nr 238 ""Tęczowy Pajacyk""","Przedszkole nr 238 ""Tęczowy Pajacyk""",ul. Monte Cassino 5 Warszawa,Renata Szyszka,228364842,przeglądaj
Ochota,Przedszkole nr 239,Przedszkole nr 239,Aleje Jerozolimskie 117a Warszawa,Magdalena Zielonka,226292383,przeglądaj
Śródmieście,Przedszkole nr 24,Przedszkole nr 24,ul. Drewniana 10/16 Warszawa,Barbara Lipińska,228264265,przeglądaj
Bielany,Przedszkole nr 240 im. Polskich Olimpijczyków,Przedszkole nr 240 im. Polskich Olimpijczyków,ul. Marymoncka 34 Warszawa,Ewa Skwarka,228641115,przeglądaj
Ochota,Przedszkole nr 241,Przedszkole nr 241,ul. Księcia Trojdena 5b Warszawa,Teresa Bieńkowska,228234119,przeglądaj
Rembertów,Przedszkole nr 243,Przedszkole nr 243,ul. Kordiana 7/11 Warszawa,Irmina Jachimowicz,226119296,przeglądaj
Mokotów,"Przedszkole nr 244 ""Niegocińskie Skrzaty""","Przedszkole nr 244 ""Niegocińskie Skrzaty""",ul. Niegocińska 9 Warszawa,Danuta Skalska,228433049,przeglądaj
Ochota,Przedszkole nr 248,Przedszkole nr 248,ul. Karola Dickensa 5a Warszawa,Ewa Czerska,222246252,przeglądaj
Praga Południe,Przedszkole nr 249 Specjalne dla Dzieci z Upośledzeniem Umysłowym w Stopniu Umiarkowanym i Znacznym,Przedszkole nr 249 Specjalne dla Dzieci z Upośledzeniem Umysłowym w Stopniu Umiarkowanym i Znacznym,ul. Kobielska 5 Warszawa,Dorota Puławska,226139165,przeglądaj
Śródmieście,Przedszkole nr 25,Przedszkole nr 25,ul. Tadeusza Boya-Żeleńskiego 4a Warszawa,Danuta Szlązak,228253670,przeglądaj
Praga Południe,"Przedszkole nr 250 ""Akwarelka""","Przedszkole nr 250 ""Akwarelka""",ul. Kinowa 10a Warszawa,Iwona Skorupa,228108188,przeglądaj
Wola,"Przedszkole nr 253 ""Akademia Pana Kleksa""","Przedszkole nr 253 ""Akademia Pana Kleksa""",ul. Antka Rozpylacza 2 Warszawa,Anna Mazurek,228367913,przeglądaj
Ochota,Przedszkole nr 255,Przedszkole nr 255,ul. Władysława Korotyńskiego 3 Warszawa,Katarzyna Kuźniarska,228231516,przeglądaj
Wesoła,"Przedszkole nr 259 ""Leśna Bajka""","Przedszkole nr 259 ""Leśna Bajka""",Plac Wojska Polskiego (Wesoła) 18 Warszawa,Magdalena Kraus,227736179,przeglądaj
Śródmieście,Przedszkole nr 26,Przedszkole nr 26,ul. Nowowiejska 1/3 Warszawa,Anna Szmytkowska,228251555,przeglądaj
Wesoła,Przedszkole nr 260,Przedszkole nr 260,Trakt Brzeski (Wesoła) 85 Warszawa,Ewa Marczyńska,227733994,przeglądaj
Wesoła,"Przedszkole nr 261 ""Pod Dębami""","Przedszkole nr 261 ""Pod Dębami""",ul. Armii Krajowej (Wesoła) 72 Warszawa,Małgorzata Riedel,227735858,przeglądaj
Wesoła,Przedszkole nr 262,Przedszkole nr 262,ul. Wilanowska (Wesoła) 3 Warszawa,Joanna Konowrocka,227603151,przeglądaj
Wola,Przedszkole nr 263,Przedszkole nr 263,ul. Miła 39 Warszawa,Beata Makarewicz,228383715,przeglądaj
Wawer,"Przedszkole nr 264 ""Pluszowego Misia""","Przedszkole nr 264 ""Pluszowego Misia""",ul. Korkowa 147/149 Warszawa,Hanna Wróblewska,228120542,przeglądaj
Ursynów,Przedszkole nr 267,Przedszkole nr 267,ul. Witolda Małcużyńskiego 4 Warszawa,Anna Sierocińska-Rudzińska,226486171,przeglądaj
Bielany,"Przedszkole nr 268 ""Słoneczny Promyk""","Przedszkole nr 268 ""Słoneczny Promyk""",ul. Przytyk 5a Warszawa,Bożena Marciniak,228343597,przeglądaj
Wola,Przedszkole nr 269,Przedszkole nr 269,ul. Smocza 22 Warszawa,Agnieszka Jędrysiak,228388013,przeglądaj
Mokotów,Przedszkole nr 270,Przedszkole nr 270,ul. Bełdan 5 Warszawa,Małgorzata Dorochowicz,228432632,przeglądaj
Bielany,"Przedszkole nr 271 ""Wróbelka Elemelka""","Przedszkole nr 271 ""Wróbelka Elemelka""",ul. Władysława Broniewskiego 93 Warszawa,Elżbieta Fiodorowska,226333877,przeglądaj
Bielany,"Przedszkole nr 272 im. ""Misia Uszatka""","Przedszkole nr 272 im. ""Misia Uszatka""",ul. Tadeusza Gajcego 9 Warszawa,Beata Nowak,228352157,przeglądaj
Wola,Przedszkole nr 273,Przedszkole nr 273,ul. Jana Olbrachta 28 Warszawa,Marzena Ostrowska,228368913,przeglądaj
Mokotów,Przedszkole nr 274,Przedszkole nr 274,ul. Bokserska 32 Warszawa,Ewa Walewska,228434652,przeglądaj
Mokotów,Przedszkole nr 275,Przedszkole nr 275,ul. Jana Feliksa Piwarskiego 5 Warszawa,Małgorzata Stelmaszczyk,228412254,przeglądaj
Mokotów,Przedszkole nr 278,Przedszkole nr 278,ul. Tatrzańska 3 Warszawa,Renata Jagiełło,228417877,przeglądaj
Mokotów,Przedszkole nr 28,Przedszkole nr 28,ul. Adama Naruszewicza 15 Warszawa,Jolanta Palińska-Majak,228441624,przeglądaj
Mokotów,"Przedszkole nr 281 ""Stokrotka""",Zespół Szkolno-Przedszkolny nr 1,ul. Gościniec 53 Warszawa,Halina Malik,228414326,przeglądaj
Ursynów,Przedszkole nr 282,Przedszkole nr 282,ul. Na Uboczu 7 Warszawa,Aleksandra Nowicka,226486950,przeglądaj
Ursynów,Przedszkole nr 283,Przedszkole nr 283,ul. Puszczyka 6 Warszawa,Grażyna Sajnóg,226436036,przeglądaj
Mokotów,Przedszkole nr 284,Przedszkole nr 284,ul. Jałtańska 8 Warszawa,Magdalena Grządka,228423201,przeglądaj
Ursynów,Przedszkole nr 286,Przedszkole nr 286,ul. Mandarynki 1 Warszawa,Krystyna Tumkiewicz,226487426,przeglądaj
Bielany,"Przedszkole nr 287 ""Piotrusia Pana""","Przedszkole nr 287 ""Piotrusia Pana""",ul. Władysława Broniewskiego 81 Warszawa,Lilia Brzezińska,226336418,przeglądaj
Wola,Przedszkole nr 289,Przedszkole nr 289,ul. Twarda 60a Warszawa,Anna Krysztofiak,226204796,przeglądaj
Włochy,Przedszkole nr 29,Przedszkole nr 29,ul. Sycowska 1 Warszawa,Aleksandra Dawidowicz,228460233,przeglądaj
Praga Południe,Przedszkole nr 292,Przedszkole nr 292,ul. Walecznych 4/6 Warszawa,Barbara Wyszyńska-Duch,226160387,przeglądaj
Ochota,Przedszkole nr 293,Przedszkole nr 293,ul. Stefana Baleya 5 Warszawa,Barbara Martyniuk,228235320,przeglądaj
Mokotów,Przedszkole nr 294 'Promyk Czerniakowa',Przedszkole nr 294 'Promyk Czerniakowa',ul. Czerniakowska 50a Warszawa,Elżbieta Tokarska,228415586,przeglądaj
Praga Południe,"Przedszkole nr 295 ""Kraina Bajek""","Przedszkole nr 295 ""Kraina Bajek""",ul. Afrykańska 9 Warszawa,Anna Korbuszewska,226175213,przeglądaj
Praga Południe,"Przedszkole nr 296 ""Bajkowy Parasol""","Przedszkole nr 296 ""Bajkowy Parasol""",ul. Międzynarodowa 36 Warszawa,Beata Okoń,226170182,przeglądaj
Mokotów,"Przedszkole nr 299 ""Bernardyńskie Krasnale""","Przedszkole nr 299 ""Bernardyńskie Krasnale""",ul. Przy Bernardyńskiej Wodzie 13 Warszawa,Barbara Zubilewicz,228422576,przeglądaj
Śródmieście,Przedszkole nr 3,Przedszkole nr 3,ul. Grzybowska 7 Warszawa,Alina Tarapata,226209158,przeglądaj
Śródmieście,"Przedszkole nr 30 ""Zielona Łódeczka""","Przedszkole nr 30 ""Zielona Łódeczka""",ul. Rozbrat 10/14 Warszawa,Teresa Wilczyńska,226293810,przeglądaj
Mokotów,Przedszkole nr 300,Przedszkole nr 300,ul. Portofino 4 Warszawa,Jolanta Maliszewska,228424615,przeglądaj
Bielany,"Przedszkole nr 301 ""Zaczarowany Świat""","Przedszkole nr 301 ""Zaczarowany Świat""",ul. Leopolda Staffa 7b Warszawa,Anna Bąkowska,228353873,przeglądaj
Mokotów,Przedszkole nr 305,Przedszkole nr 305,ul. Stefana Bryły 8 Warszawa,Beata Koszlaga,228579415,przeglądaj
Bielany,"Przedszkole nr 306 ""Mali Optymyści""","Przedszkole nr 306 ""Mali Optymyści""",ul. Szegedyńska 13 Warszawa,Anna Rudowska,228348213,przeglądaj
Bielany,"Przedszkole nr 307 ""Wesołe Ekoludki""","Przedszkole nr 307 ""Wesołe Ekoludki""",ul. Księgarzy 9 Warszawa,Grażyna Bogiel,228347943,przeglądaj
Bielany,"Przedszkole nr 308 ""Krasnala Hałabały""","Przedszkole nr 308 ""Krasnala Hałabały""",Aleja Władysława Reymonta 8a Warszawa,Beata Urbańska,226639217,przeglądaj
Śródmieście,Przedszkole nr 31 im. Zdzisława Witwickiego,Przedszkole nr 31 im. Zdzisława Witwickiego,ul. Krucza 19 Warszawa,Anna Wróbel,226219940,przeglądaj
Mokotów,"Przedszkole nr 311 ""Sadybiańskie Świerszcze""","Przedszkole nr 311 ""Sadybiańskie Świerszcze""",ul. Jana III Sobieskiego 72b Warszawa,Małgorzata Fabjańska-Miszczak,228424637,przeglądaj
Włochy,Przedszkole nr 313,Przedszkole nr 313,ul. Sulmierzycka 1 Warszawa,Alicja Misiak,228461000,przeglądaj
Ochota,Przedszkole nr 315 im. Zbigniewa Rychlickiego,Przedszkole nr 315 im. Zbigniewa Rychlickiego,ul. Szczepana Grzeszczyka 2 Warszawa,Hanna Warmińska,228227113,przeglądaj
Mokotów,"Przedszkole nr 317 ""Smykolandia""","Przedszkole nr 317 ""Smykolandia""",ul. Piotra Gruszczyńskiego 11 Warszawa,Anna Rumińska,228472663,przeglądaj
Bielany,"Przedszkole nr 318 ""Zielony Zakątek""","Przedszkole nr 318 ""Zielony Zakątek""",ul. Jana Kochanowskiego 9a Warszawa,Beata Michalec,226639281,przeglądaj
Bemowo,Przedszkole nr 319,Przedszkole nr 319,ul. Powstańców Śląskich 14 Warszawa,Maria Głodek,226642100,przeglądaj
Śródmieście,Przedszkole nr 32,Przedszkole nr 32,ul. Nowogrodzka 17 Warszawa,Iwona Zawiła-Urbanek,226285163,przeglądaj
Bemowo,Przedszkole nr 320,Przedszkole nr 320,ul. Cokołowa 2 Warszawa,Grażyna Brzezińska,226646173,przeglądaj
Mokotów,Przedszkole nr 325,Przedszkole nr 325,ul. Kaspijska 5 Warszawa,Jolanta Paduch,228425623,przeglądaj
Mokotów,"Przedszkole nr 326 ""Chatka Skrzatka""","Przedszkole nr 326 ""Chatka Skrzatka""",ul. Bernardyńska 14 Warszawa,Hanna Myszewska,228403123,przeglądaj
Bielany,"Przedszkole nr 327 ""Kolorowa Kraina""","Przedszkole nr 327 ""Kolorowa Kraina""",ul. Josepha Conrada 10a Warszawa,Krystyna Rasińska,226697242,przeglądaj
Bielany,"Przedszkole nr 328 ""Akademia pod Czereśnią""","Przedszkole nr 328 ""Akademia pod Czereśnią""",ul. Marii Dąbrowskiej 5a Warszawa,Małgorzata Kosowska-Piesio,226697813,przeglądaj
Śródmieście,Przedszkole nr 33,Przedszkole nr 33,ul. Wilcza 55/63 Warszawa,Anna Stępień,226297473,przeglądaj
Mokotów,"Przedszkole nr 330 ""Pod Modrzewiem""","Przedszkole nr 330 ""Pod Modrzewiem""",Aleja Niepodległości 17 Warszawa,Magdalena Satkowska,228486167,przeglądaj
Praga Południe,"Przedszkole nr 331 ""U Słonia Szczęściarza""","Przedszkole nr 331 ""U Słonia Szczęściarza""",ul. Szaserów 61a Warszawa,Marzena Nowak,226105212,przeglądaj
Bielany,Przedszkole nr 334 im. Jasia i Małgosi,Przedszkole nr 334 im. Jasia i Małgosi,ul. Przy Agorze 12 Warszawa,Katarzyna Pawlik,228347157,przeglądaj
Bemowo,Przedszkole nr 336,Przedszkole nr 336,ul. Siemiatycka 2 Warszawa,Dorota Bogucka,226653616,przeglądaj
Bemowo,Przedszkole nr 337,Przedszkole nr 337,ul. Reżyserska 19 Warszawa,Danuta Wirt,226643927,przeglądaj
Wawer,"Przedszkole nr 338 ""Sosnowa Stacyjka""","Przedszkole nr 338 ""Sosnowa Stacyjka""",ul. Włókiennicza 41 Warszawa,Izabella Rudzka,228724146,przeglądaj
Śródmieście,Przedszkole nr 34,Przedszkole nr 34,ul. Emilii Plater 25 Warszawa,Danuta Woźniak,226296521,przeglądaj
Bielany,"Przedszkole nr 340 ""Kasztanowego Ludka""","Przedszkole nr 340 ""Kasztanowego Ludka""",ul. Wojciecha Bogusławskiego 8a Warszawa,Urszula Mirowska,226636628,przeglądaj
Ursus,Przedszkole nr 343,Przedszkole nr 343,ul. Warszawska 53 Warszawa,Teresa Brzezińska,226679366,przeglądaj
Mokotów,Przedszkole nr 344,Przedszkole nr 344,ul. Spartańska 2 Warszawa,Mariola Futoma,228486487,przeglądaj
Bielany,"Przedszkole nr 346 ""Pod Kasztanem""","Przedszkole nr 346 ""Pod Kasztanem""",ul. Klaudyny 8 Warszawa,Małgorzata Pakuła,228331585,przeglądaj
Wawer,Przedszkole nr 348,Zespół Szkolno-Przedszkolny nr 9,ul. Kadetów 15A Warszawa,Beata Senterkiewicz-Trendak,226723414,przeglądaj
Mokotów,"Przedszkole nr 349 ""Barcelonka""","Przedszkole nr 349 ""Barcelonka""",ul. Barcelońska 8 Warszawa,Bożena Mielnik,228428139,przeglądaj
Śródmieście,Przedszkole nr 35,Przedszkole nr 35,ul. Wojciecha Górskiego 1 Warszawa,Joanna Siudzińska,224122605,przeglądaj
Wola,"Przedszkole nr 350 ""Jaśminowy Gaj""","Przedszkole nr 350 ""Jaśminowy Gaj""",ul. Wieluńska 12 Warszawa,Agnieszka Januszyk,228363041,przeglądaj
Ursynów,Przedszkole nr 351 im. Wandy Chotomskiej,Przedszkole nr 351 im. Wandy Chotomskiej,ul. Edwarda Warchałowskiego 4 Warszawa,Lidia Gruchała,226431369,przeglądaj
Ursynów,Przedszkole nr 352,Przedszkole nr 352,ul. Leonida Teligi 3 Warszawa,Monika Bachańska,226415221,przeglądaj
Śródmieście,"Przedszkole nr 36 ""Odkrywcy Nowego Świata""","Przedszkole nr 36 ""Odkrywcy Nowego Świata""",ul. Nowy Świat 41a Warszawa,Małgorzata Jakubiak,228274467,przeglądaj
Mokotów,"Przedszkole nr 360 ""Słoneczny Domek""","Przedszkole nr 360 ""Słoneczny Domek""",ul. Wernyhory 23 Warszawa,Barbara Meyer-Kalicka,228472888,przeglądaj
Żoliborz,Przedszkole nr 361,Przedszkole nr 361,ul. Włościańska 6a Warszawa,Małgorzata Lubańska,226333892,przeglądaj
Bielany,"Przedszkole nr 364 ""Pod Tęczą""","Przedszkole nr 364 ""Pod Tęczą""",ul. Gwiaździsta 27 Warszawa,Iwona Rode-Jaskółowska,228330391,przeglądaj
Ursynów,Przedszkole nr 366,Przedszkole nr 366,ul. Hawajska 7 Warszawa,Ewa Wieczorek,226417222,przeglądaj
Praga Południe,Przedszkole nr 370,Przedszkole nr 370,ul. Władysława Umińskiego 11 Warszawa,Grażyna Kuczbajska,226138769,przeglądaj
Bemowo,Przedszkole nr 371,Przedszkole nr 371,ul. Stanisława Lencewicza 5 Warszawa,Marta Pakulska,228377544,przeglądaj
Rembertów,Przedszkole nr 376 z Oddziałami Integracyjnymi,Przedszkole nr 376 z Oddziałami Integracyjnymi,ul. Admiralska 17 Warszawa,Urszula Popielarz,222451162,przeglądaj
Praga Południe,"Przedszkole nr 380 ""Promyk Gocławia""","Przedszkole nr 380 ""Promyk Gocławia""",ul. gen. Tadeusza Bora-Komorowskiego 10a Warszawa,Edyta Kozicka,226137572,przeglądaj
Bemowo,Przedszkole nr 381,Zespół Szkolno-Przedszkolny nr 6,ul. Stanisława Szobera 1/3 Warszawa,Iwona Kaczmarczyk,226645635,przeglądaj
Praga Południe,Przedszkole nr 384,Przedszkole nr 384,ul. Janusza Meissnera 8b Warszawa,Bożena Orlińska,226136800,przeglądaj
Ursynów,Przedszkole nr 385,Przedszkole nr 385,ul. Związku Walki Młodych 10 Warszawa,Grażyna Nowak,226438697,przeglądaj
Bemowo,Przedszkole nr 389,Zespół Szkolno-Przedszkolny nr 7,ul. ppłk. Wacława Szadkowskiego 3 Warszawa,Włodzimierz Skarzyński,228378251,przeglądaj
Bielany,"Przedszkole nr 39 ""Pod Topolami""","Przedszkole nr 39 ""Pod Topolami""",ul. Dorycka 1 Warszawa,Elżbieta Rogala,228350809,przeglądaj
Bemowo,Przedszkole nr 390,Przedszkole nr 390,ul. Secemińska 1 Warszawa,Małgorzata Zarzycka,226382026,przeglądaj
Mokotów,Przedszkole nr 391,Przedszkole nr 391,ul. Czerniakowska 20a Warszawa,Agnieszka Sokołowska,228403114,przeglądaj
Praga Południe,"Przedszkole nr 392 ""Wróbelka Elemelka""","Przedszkole nr 392 ""Wróbelka Elemelka""",ul. Afrykańska 14a Warszawa,Ewa Jankowska,226172870,przeglądaj
Ursynów,Przedszkole nr 395 im. Barbary Lewandowskiej,Przedszkole nr 395 im. Barbary Lewandowskiej,ul. Na Uboczu 9 Warszawa,Karolina Sąntolak,226486551,przeglądaj
Praga Południe,"Przedszkole nr 397 ""Ziarenko""","Przedszkole nr 397 ""Ziarenko""",ul. Komorska 6 Warszawa,Urszula Kacprzak,226106964,przeglądaj
Śródmieście,Przedszkole nr 4,Przedszkole nr 4,ul. Elektoralna 15/17 Warszawa,Beata Cieślak,226204246,przeglądaj
Ursynów,Przedszkole nr 400,Przedszkole nr 400,ul. Eugeniusza Lokajskiego 2 Warszawa,Agnieszka Orłowska,226487212,przeglądaj
Ursynów,Przedszkole nr 401,Przedszkole nr 401,ul. Edwarda Dembowskiego 9 Warszawa,Zofia Rusek,226415405,przeglądaj
Bemowo,Przedszkole nr 402,Przedszkole nr 402,ul. Rosy Bailly 11 Warszawa,Agnieszka Przeniosło,228379166,przeglądaj
Wola,Przedszkole nr 403,Przedszkole nr 403,ul. Góralska 1 Warszawa,Hanna Domagała,228371705,przeglądaj
Bemowo,Przedszkole nr 406,Przedszkole nr 406,ul. Juliusza Kaden-Bandrowskiego 8 Warszawa,Lucyna Rudko,226382424,przeglądaj
Praga Południe,Przedszkole nr 407,Przedszkole nr 407,ul. Mieczysława Pawlikowskiego 2 Warszawa,Maria Bieniaszewska,222247028,przeglądaj
Bielany,"Przedszkole nr 409 ""Królestwo Maciusia I""","Przedszkole nr 409 ""Królestwo Maciusia I""",ul. Lwa Tołstoja 2 Warszawa,Ewa Bojarska,228646107,przeglądaj
Śródmieście,"Przedszkole nr 41 ""Wiślana Kropelka""",Zespół Szkolno-Przedszkolny nr 8,ul. Leona Kruczkowskiego 12b Warszawa,Joanna Bogdańska,228278725,przeglądaj
Praga Południe,"Przedszkole nr 411 ""Akademia Króla Stasia""","Przedszkole nr 411 ""Akademia Króla Stasia""",ul. Stanisława Augusta 77 Warszawa,Elżbieta Karwowska,228105033,przeglądaj
Ursynów,Przedszkole nr 412 z Oddziałami Integracyjnymi,Przedszkole nr 412 z Oddziałami Integracyjnymi,ul. Pála Telekiego 8 Warszawa,Agnieszka Szemberska,225440653,przeglądaj
Ursus,Przedszkole nr 413,Przedszkole nr 413,ul. Górna Droga 10 Warszawa,Hanna Załęska,223037443,przeglądaj
Białołęka,Przedszkole nr 414,Przedszkole nr 414,ul. Mariana Hemara 8 Warszawa,Monika Drojewska,227471071,przeglądaj
Bemowo,Przedszkole nr 415,Przedszkole nr 415,ul. Obrońców Tobruku 23 lok. 112 Warszawa,Ewa Wilk-Czerwińska,222522974,przeglądaj
Wilanów,Przedszkole nr 416,Przedszkole nr 416,ul. Syta 123 Warszawa,Anna Kozłowska,228580005,przeglądaj
Bemowo,Przedszkole nr 417,Przedszkole nr 417,ul. Muszlowa 17 Warszawa,Edyta Sasim,226646006,przeglądaj
Włochy,Przedszkole nr 419,Przedszkole nr 419,ul. Ryżowa 17 Warszawa,Grażyna Zwierz,,przeglądaj
Śródmieście,Przedszkole nr 42,Przedszkole nr 42,ul. Agrykola 9 Warszawa,Ewa Marczak,228415725,przeglądaj
Wilanów,"Przedszkole nr 420 ""Nasza Bajka""","Przedszkole nr 420 ""Nasza Bajka""",ul. św. Urszuli Ledóchowskiej 8 Warszawa,Jolanta Kuźmińska,223972277,przeglądaj
Bielany,Przedszkole nr 421,Przedszkole nr 421,ul. Cegłowska 13a Warszawa,Elżbieta Pietrzykowska,228340803,przeglądaj
Bielany,Przedszkole nr 422,Przedszkole nr 422,ul. Brązownicza 17 Warszawa,Anna Skwarka,226696229,przeglądaj
Rembertów,Przedszkole nr 423,Przedszkole nr 423,ul. Kadrowa 9 Warszawa,Barbara Bogacka,222432657,przeglądaj
Praga Południe,Przedszkole nr 425,Przedszkole nr 425,ul. Tadeusza Rechniewskiego 11A Warszawa,Wiesława Zwierzchowska,,przeglądaj
Śródmieście,Przedszkole nr 44,Przedszkole nr 44,ul. Ludna 8 Warszawa,Barbara Strąk,226228944,przeglądaj
